State,Month,Region_Type,ANC_Registered,Adult_Death_TB,Adult_Suicide,C_Section,Child_Diarrhoea,Child_Malaria,Child_TB,Condoms_Distributed,Early_Breastfeeding,Immunization_MR,Infant_Death_Sepsis,Institutional_Delivery,Low_Birth_Weight,Maternal_Death_Bleeding,PW_Hypertension,Severe_Anaemia_Treated
Daman & Diu,April,Urban,157.0,0.0,1.0,6.0,8.0,0.0,0.0,2920.0,18.0,86.0,0.0,24.0,0.0,0.0,1.0,0.0
Daman & Diu,August,Rural,412.0,2.0,2.0,95.0,120.0,0.0,0.0,8500.0,302.0,308.0,0.0,317.0,82.0,0.0,6.0,12.0
Daman & Diu,August,Urban,148.0,0.0,1.0,19.0,0.0,0.0,0.0,2556.0,35.0,125.0,0.0,54.0,0.0,0.0,0.0,1.0
Daman & Diu,December,Rural,447.0,2.0,1.0,121.0,78.0,0.0,0.0,9128.0,305.0,224.0,0.0,335.0,46.0,0.0,4.0,18.0
Daman & Diu,December,Urban,168.0,0.0,0.0,16.0,5.0,0.0,0.0,4799.0,36.0,129.0,0.0,53.0,0.0,0.0,0.0,2.0
Daman & Diu,February,Rural,365.0,2.0,0.0,86.0,96.0,0.0,1.0,12313.0,206.0,273.0,0.0,241.0,43.0,0.0,11.0,30.0
Daman & Diu,February,Urban,145.0,0.0,0.0,22.0,4.0,0.0,0.0,853.0,36.0,95.0,0.0,53.0,0.0,0.0,0.0,1.0
Daman & Diu,January,Rural,366.0,2.0,2.0,87.0,86.0,0.0,0.0,11279.0,186.0,271.0,0.0,256.0,68.0,0.0,2.0,33.0
Daman & Diu,January,Urban,187.0,0.0,0.0,20.0,1.0,0.0,0.0,3010.0,36.0,99.0,0.0,55.0,0.0,0.0,0.0,0.0
Daman & Diu,July,Rural,364.0,1.0,1.0,88.0,123.0,0.0,0.0,6773.0,242.0,275.0,0.0,253.0,73.0,0.0,1.0,4.0
Daman & Diu,July,Urban,190.0,0.0,0.0,16.0,17.0,0.0,0.0,2401.0,19.0,126.0,0.0,35.0,0.0,0.0,0.0,1.0
Daman & Diu,June,Rural,420.0,0.0,0.0,79.0,83.0,0.0,0.0,8145.0,206.0,331.0,0.0,262.0,50.0,0.0,5.0,0.0
Daman & Diu,June,Urban,199.0,0.0,0.0,10.0,13.0,0.0,0.0,2774.0,23.0,117.0,0.0,33.0,0.0,0.0,0.0,0.0
Daman & Diu,March,Rural,376.0,1.0,2.0,82.0,107.0,0.0,0.0,12657.0,189.0,195.0,0.0,246.0,49.0,0.0,5.0,17.0
Daman & Diu,March,Urban,183.0,0.0,0.0,21.0,0.0,0.0,0.0,1552.0,34.0,82.0,0.0,62.0,3.0,0.0,0.0,1.0
Daman & Diu,May,Rural,389.0,0.0,1.0,94.0,82.0,0.0,0.0,7373.0,237.0,306.0,0.0,291.0,66.0,0.0,15.0,0.0
Daman & Diu,May,Urban,216.0,0.0,0.0,15.0,0.0,0.0,0.0,1064.0,30.0,117.0,0.0,45.0,0.0,0.0,2.0,0.0
Daman & Diu,November,Rural,342.0,2.0,2.0,107.0,116.0,0.0,0.0,8910.0,291.0,269.0,0.0,318.0,96.0,0.0,10.0,7.0
Daman & Diu,November,Urban,151.0,0.0,0.0,20.0,6.0,0.0,0.0,1406.0,42.0,131.0,0.0,62.0,0.0,0.0,0.0,1.0
Daman & Diu,October,Rural,274.0,1.0,2.0,92.0,86.0,0.0,1.0,8042.0,311.0,353.0,1.0,322.0,107.0,0.0,13.0,3.0
Daman & Diu,October,Urban,107.0,0.0,0.0,16.0,4.0,0.0,0.0,1930.0,37.0,113.0,0.0,53.0,0.0,0.0,0.0,0.0
Daman & Diu,September,Rural,367.0,2.0,0.0,114.0,94.0,0.0,0.0,8507.0,340.0,332.0,1.0,356.0,80.0,0.0,4.0,23.0
Daman & Diu,September,Urban,138.0,0.0,0.0,19.0,0.0,0.0,0.0,1990.0,39.0,103.0,0.0,58.0,0.0,0.0,0.0,3.0
Delhi,April,Rural,24399.0,17.0,52.0,4714.0,5071.0,25.0,134.0,69324.0,9062.0,2865.0,59.0,14537.0,2330.0,3.0,1319.0,801.0
Delhi,April,Urban,44389.0,5.0,1.0,1510.0,9475.0,39.0,18.0,317388.0,2788.0,21609.0,3.0,3519.0,582.0,1.0,307.0,206.0
Delhi,August,Rural,28871.0,21.0,73.0,6070.0,8120.0,133.0,66.0,73193.0,16482.0,3299.0,63.0,21312.0,4637.0,2.0,1467.0,848.0
Delhi,August,Urban,35951.0,3.0,4.0,1952.0,13071.0,164.0,7.0,347790.0,4279.0,25779.0,2.0,5014.0,892.0,0.0,299.0,213.0
Delhi,December,Rural,20026.0,21.0,72.0,6088.0,3286.0,4.0,99.0,79419.0,15024.0,2671.0,100.0,20417.0,6089.0,4.0,1800.0,873.0
Delhi,December,Urban,31891.0,2.0,3.0,2005.0,6937.0,24.0,12.0,408066.0,4159.0,20824.0,2.0,4940.0,865.0,1.0,340.0,292.0
Delhi,February,Rural,18792.0,20.0,71.0,5349.0,4408.0,2.0,76.0,76724.0,12024.0,2400.0,82.0,16964.0,4379.0,3.0,1612.0,965.0
Delhi,February,Urban,35464.0,4.0,3.0,1365.0,7570.0,5.0,13.0,402072.0,3132.0,17520.0,3.0,3559.0,617.0,1.0,448.0,323.0
Delhi,January,Rural,24239.0,18.0,74.0,6136.0,5314.0,1.0,68.0,71235.0,13778.0,2788.0,121.0,19794.0,5392.0,2.0,1595.0,925.0
Delhi,January,Urban,38024.0,3.0,2.0,2019.0,7719.0,44.0,15.0,399580.0,3944.0,21692.0,3.0,4717.0,795.0,0.0,427.0,301.0
Delhi,July,Rural,32578.0,17.0,75.0,6012.0,8174.0,59.0,98.0,96473.0,15883.0,3635.0,49.0,20226.0,4234.0,4.0,1271.0,1180.0
Delhi,July,Urban,44312.0,8.0,7.0,1791.0,11681.0,22.0,12.0,504536.0,3964.0,29226.0,4.0,4478.0,764.0,0.0,359.0,290.0
Delhi,June,Rural,25101.0,22.0,78.0,4872.0,7946.0,47.0,104.0,66961.0,12753.0,3296.0,66.0,16159.0,3403.0,4.0,1433.0,1320.0
Delhi,June,Urban,36303.0,4.0,3.0,1399.0,13042.0,155.0,10.0,311011.0,3092.0,23770.0,1.0,3491.0,589.0,0.0,307.0,216.0
Delhi,March,Rural,13037.0,14.0,61.0,5139.0,3876.0,6.0,20.0,64768.0,10604.0,1758.0,42.0,15456.0,3607.0,4.0,1149.0,752.0
Delhi,March,Urban,24947.0,1.0,1.0,1218.0,4918.0,1.0,9.0,319734.0,2524.0,13111.0,2.0,3043.0,402.0,0.0,245.0,225.0
Delhi,May,Rural,29103.0,13.0,68.0,4949.0,9741.0,20.0,49.0,64881.0,12530.0,3217.0,36.0,15425.0,3025.0,0.0,1424.0,807.0
Delhi,May,Urban,41067.0,5.0,8.0,1545.0,13997.0,31.0,13.0,288716.0,2920.0,25202.0,3.0,3533.0,566.0,2.0,300.0,179.0
Delhi,November,Rural,21719.0,22.0,66.0,6074.0,5381.0,46.0,64.0,86167.0,14801.0,3059.0,60.0,20888.0,5453.0,5.0,1211.0,863.0
Delhi,November,Urban,34358.0,0.0,5.0,1956.0,7721.0,82.0,10.0,419354.0,3953.0,24764.0,5.0,4735.0,780.0,2.0,333.0,240.0
Delhi,October,Rural,20241.0,11.0,67.0,6176.0,5269.0,77.0,95.0,77179.0,15402.0,2884.0,63.0,21532.0,4523.0,5.0,1468.0,1234.0
Delhi,October,Urban,31363.0,1.0,1.0,2030.0,9341.0,93.0,10.0,387115.0,4429.0,23494.0,5.0,5101.0,879.0,1.0,446.0,232.0
Delhi,September,Rural,26803.0,14.0,81.0,5953.0,5698.0,292.0,89.0,74897.0,16537.0,3574.0,69.0,21328.0,4432.0,2.0,1291.0,1046.0
Delhi,September,Urban,38344.0,2.0,2.0,1957.0,10093.0,290.0,18.0,381405.0,4154.0,26835.0,3.0,4993.0,746.0,1.0,328.0,253.0
Goa,April,Rural,2158.0,1.0,3.0,434.0,289.0,2.0,2.0,22471.0,1038.0,1355.0,1.0,1213.0,250.0,0.0,89.0,13.0
Goa,April,Urban,285.0,0.0,0.0,214.0,0.0,0.0,0.0,1460.0,255.0,320.0,0.0,396.0,12.0,0.0,6.0,0.0
Goa,August,Rural,1731.0,2.0,3.0,434.0,363.0,3.0,8.0,30437.0,887.0,1386.0,4.0,1100.0,228.0,0.0,81.0,15.0
